类别,评分,平均价格,上周订单数
凉皮/凉粉,4.2,11.5,18.0
土豆粉,4.114285714285714,15.285714285714286,91.85714285714286
炸酱面,4.1,9.0,6.0
烩面,4.285714285714286,20.19047619047619,86.85714285714286
米粉,4.787499999999999,11.666666666666666,136.875
粉丝汤,4.425,11.75,107.75
肥肠粉,5.0,10.0,76.0
螺蛳粉,4.942857142857143,14.571428571428571,130.42857142857142
过桥米线,4.183333333333333,19.083333333333332,121.66666666666667
面条,4.53529411764706,16.735294117647058,96.05882352941177
