标签,累计数量
上菜快,30
主食赞,32
交通便利,28
价格实惠,19
价格高,4
体验很棒,13
分量少,10
分量足,143
午餐,36
味道赞,188
商圈附近,18
回头客,6
工作餐,11
干净整洁,23
弄堂小吃,3
性价比高,24
拔草,3
朋友聚餐,9
服务热情,60
牛肉赞,19
环境优雅,19
现做现卖,3
肉夹馍,23
菜品不错,8
装修好看,12
